10 Bře 2015 22:36:56,434 DEBUG connection.Server - Game manager created, maximum number of rooms is 5, maximum number of players per room is 1
10 Bře 2015 22:36:56,434  INFO connection.Server - Server started! Listening on port 6666
16 Bře 2015 02:08:29,849  INFO game.Room - Player tester has entered the room 1426467827929
16 Bře 2015 02:08:29,849  INFO game.GameManager - Starting game in room 1426467827929 in 5 seconds
16 Bře 2015 02:08:29,849 DEBUG game.Room - Broadcasted message user1-tester to room 1426467827929
16 Bře 2015 02:08:29,857  INFO game.Starter - Starting game in room 1426467827929 in 5 seconds
16 Bře 2015 02:08:30,250 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:08:30,250 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:08:34,859 DEBUG game.Player - Sent message game-start to player tester in room 1426467827929
16 Bře 2015 02:08:34,859 DEBUG game.Room - Broadcasted message game-start to room 1426467827929
16 Bře 2015 02:08:34,859  INFO game.Starter - Game in room 1426467827929 has started
16 Bře 2015 02:08:50,752 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:08:50,752 DEBUG game.Room - Broadcasted message game-end to room 1426467827929
16 Bře 2015 02:08:50,752 DEBUG game.GameManager - Sent game-end to all other players in room 1426467827929
16 Bře 2015 02:08:50,753  INFO game.GameManager - The game has ended in room 1426467827929
16 Bře 2015 02:08:50,753  INFO game.Room - Player tester has left the room 1426467827929
16 Bře 2015 02:08:50,753 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:08:50,753 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:08:50,753  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:08:53,171  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:08:53,173 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:08:53,173 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:08:53,173  INFO game.Room - Player tester has entered the room 1426467827929
16 Bře 2015 02:08:53,173  INFO game.GameManager - Starting game in room 1426467827929 in 5 seconds
16 Bře 2015 02:08:53,174 DEBUG game.Room - Broadcasted message user1-tester to room 1426467827929
16 Bře 2015 02:08:53,174  INFO game.Starter - Starting game in room 1426467827929 in 5 seconds
16 Bře 2015 02:08:53,535 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:08:53,535 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:08:58,175 DEBUG game.Player - Sent message game-start to player tester in room 1426467827929
16 Bře 2015 02:08:58,175 DEBUG game.Room - Broadcasted message game-start to room 1426467827929
16 Bře 2015 02:08:58,175  INFO game.Starter - Game in room 1426467827929 has started
16 Bře 2015 02:22:11,361 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:22:11,362 DEBUG game.Room - Broadcasted message game-end to room 1426467827929
16 Bře 2015 02:22:11,362 DEBUG game.GameManager - Sent game-end to all other players in room 1426467827929
16 Bře 2015 02:22:11,362  INFO game.GameManager - The game has ended in room 1426467827929
16 Bře 2015 02:22:11,362  INFO game.Room - Player tester has left the room 1426467827929
16 Bře 2015 02:22:11,363 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:22:11,363 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:22:11,363  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:22:12,177  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:22:12,180 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:22:12,180 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:22:12,180  INFO game.Room - Player tester has entered the room 1426467827929
16 Bře 2015 02:22:12,180  INFO game.GameManager - Starting game in room 1426467827929 in 5 seconds
16 Bře 2015 02:22:12,180 DEBUG game.Room - Broadcasted message user1-tester to room 1426467827929
16 Bře 2015 02:22:12,181  INFO game.Starter - Starting game in room 1426467827929 in 5 seconds
16 Bře 2015 02:22:13,970 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:22:13,970 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:22:17,183 DEBUG game.Player - Sent message game-start to player tester in room 1426467827929
16 Bře 2015 02:22:17,183 DEBUG game.Room - Broadcasted message game-start to room 1426467827929
16 Bře 2015 02:22:17,183  INFO game.Starter - Game in room 1426467827929 has started
16 Bře 2015 02:24:54,143  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:24:54,148 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:24:54,148 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:24:54,151  INFO game.Room - Created a new room 1426469094151
16 Bře 2015 02:24:54,151  INFO game.Room - Player tester has entered the room 1426469094151
16 Bře 2015 02:25:03,128 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:25:03,128 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:26:18,218 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:26:18,219 DEBUG game.Room - Broadcasted message game-end to room 1426469094151
16 Bře 2015 02:26:18,219 DEBUG game.GameManager - Sent game-end to all other players in room 1426469094151
16 Bře 2015 02:26:18,219  INFO game.GameManager - The game has ended in room 1426469094151
16 Bře 2015 02:26:18,219  INFO game.Room - Player tester has left the room 1426469094151
16 Bře 2015 02:26:18,219 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:26:18,219 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:26:18,219  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:26:25,885  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:26:25,888 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:26:25,888 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:26:25,888  INFO game.Room - Player tester has entered the room 1426469094151
16 Bře 2015 02:26:25,888  INFO game.GameManager - Starting game in room 1426469094151 in 5 seconds
16 Bře 2015 02:26:25,889 DEBUG game.Room - Broadcasted message user1-tester to room 1426469094151
16 Bře 2015 02:26:25,890  INFO game.Starter - Starting game in room 1426469094151 in 5 seconds
16 Bře 2015 02:26:27,479 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:26:27,479 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:26:30,891 DEBUG game.Player - Sent message game-start to player tester in room 1426469094151
16 Bře 2015 02:26:30,891 DEBUG game.Room - Broadcasted message game-start to room 1426469094151
16 Bře 2015 02:26:30,891  INFO game.Starter - Game in room 1426469094151 has started
16 Bře 2015 02:29:21,293 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:29:21,293 DEBUG game.Room - Broadcasted message game-end to room 1426469094151
16 Bře 2015 02:29:21,293 DEBUG game.GameManager - Sent game-end to all other players in room 1426469094151
16 Bře 2015 02:29:21,293  INFO game.GameManager - The game has ended in room 1426469094151
16 Bře 2015 02:29:21,294  INFO game.Room - Player tester has left the room 1426469094151
16 Bře 2015 02:29:21,294 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:29:21,294 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:29:21,294  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:29:25,904  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:29:25,905 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:29:25,906 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:29:25,906  INFO game.Room - Player tester has entered the room 1426469094151
16 Bře 2015 02:29:25,906  INFO game.GameManager - Starting game in room 1426469094151 in 5 seconds
16 Bře 2015 02:29:25,907 DEBUG game.Room - Broadcasted message user1-tester to room 1426469094151
16 Bře 2015 02:29:25,907  INFO game.Starter - Starting game in room 1426469094151 in 5 seconds
16 Bře 2015 02:29:26,225 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:29:26,225 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:29:30,909 DEBUG game.Player - Sent message game-start to player tester in room 1426469094151
16 Bře 2015 02:29:30,909 DEBUG game.Room - Broadcasted message game-start to room 1426469094151
16 Bře 2015 02:29:30,909  INFO game.Starter - Game in room 1426469094151 has started
16 Bře 2015 02:32:26,634 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:32:26,634 DEBUG game.Room - Broadcasted message game-end to room 1426469094151
16 Bře 2015 02:32:26,634 DEBUG game.GameManager - Sent game-end to all other players in room 1426469094151
16 Bře 2015 02:32:26,634  INFO game.GameManager - The game has ended in room 1426469094151
16 Bře 2015 02:32:26,634  INFO game.Room - Player tester has left the room 1426469094151
16 Bře 2015 02:32:26,634 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:32:26,634 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:32:26,634  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:32:29,392  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:32:29,394 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:32:29,395 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:32:29,395  INFO game.Room - Player tester has entered the room 1426469094151
16 Bře 2015 02:32:29,395  INFO game.GameManager - Starting game in room 1426469094151 in 5 seconds
16 Bře 2015 02:32:29,395 DEBUG game.Room - Broadcasted message user1-tester to room 1426469094151
16 Bře 2015 02:32:29,397  INFO game.Starter - Starting game in room 1426469094151 in 5 seconds
16 Bře 2015 02:32:30,499 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:32:30,499 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:32:34,399 DEBUG game.Player - Sent message game-start to player tester in room 1426469094151
16 Bře 2015 02:32:34,399 DEBUG game.Room - Broadcasted message game-start to room 1426469094151
16 Bře 2015 02:32:34,399  INFO game.Starter - Game in room 1426469094151 has started
16 Bře 2015 02:33:31,665 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:33:31,665 DEBUG game.Room - Broadcasted message game-end to room 1426469094151
16 Bře 2015 02:33:31,665 DEBUG game.GameManager - Sent game-end to all other players in room 1426469094151
16 Bře 2015 02:33:31,665  INFO game.GameManager - The game has ended in room 1426469094151
16 Bře 2015 02:33:31,665  INFO game.Room - Player tester has left the room 1426469094151
16 Bře 2015 02:33:31,665 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:33:31,665 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:33:31,666  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:33:35,156  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:33:35,158 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:33:35,158 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:33:35,158  INFO game.Room - Player tester has entered the room 1426469094151
16 Bře 2015 02:33:35,158  INFO game.GameManager - Starting game in room 1426469094151 in 5 seconds
16 Bře 2015 02:33:35,159 DEBUG game.Room - Broadcasted message user1-tester to room 1426469094151
16 Bře 2015 02:33:35,160  INFO game.Starter - Starting game in room 1426469094151 in 5 seconds
16 Bře 2015 02:33:36,296 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:33:36,297 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:33:40,161 DEBUG game.Player - Sent message game-start to player tester in room 1426469094151
16 Bře 2015 02:33:40,161 DEBUG game.Room - Broadcasted message game-start to room 1426469094151
16 Bře 2015 02:33:40,161  INFO game.Starter - Game in room 1426469094151 has started
16 Bře 2015 02:55:52,934 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:55:52,935 DEBUG game.Room - Broadcasted message game-end to room 1426469094151
16 Bře 2015 02:55:52,935 DEBUG game.GameManager - Sent game-end to all other players in room 1426469094151
16 Bře 2015 02:55:52,935  INFO game.GameManager - The game has ended in room 1426469094151
16 Bře 2015 02:55:52,935  INFO game.Room - Player tester has left the room 1426469094151
16 Bře 2015 02:55:52,935 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:55:52,935 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:55:52,935  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:56:06,045  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:56:06,048 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:56:06,048 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:56:06,050  INFO game.Room - Created a new room 1426470966050
16 Bře 2015 02:56:06,050  INFO game.Room - Player tester has entered the room 1426470966050
16 Bře 2015 02:56:07,454 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:56:07,454 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:59:27,453 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 02:59:27,453  INFO game.Room - Player tester has left the room 1426470966050
16 Bře 2015 02:59:27,453 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 02:59:27,453 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 02:59:27,454  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 02:59:30,379  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 02:59:30,381 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 02:59:30,381 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 02:59:30,381  INFO game.Room - Player tester has entered the room 1426470966050
16 Bře 2015 02:59:30,381  INFO game.GameManager - Starting game in room 1426470966050 in 5 seconds
16 Bře 2015 02:59:30,382 DEBUG game.Room - Broadcasted message user1-tester to room 1426470966050
16 Bře 2015 02:59:30,383  INFO game.Starter - Starting game in room 1426470966050 in 5 seconds
16 Bře 2015 02:59:30,862 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 02:59:30,862 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 02:59:35,384  INFO game.Starter - Session in room 1426470966050 has started
16 Bře 2015 03:01:48,783 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 03:01:48,783  INFO game.Room - Player tester has left the room 1426470966050
16 Bře 2015 03:01:48,783 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 03:01:48,783 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 03:01:48,783  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 03:01:51,175  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 03:01:51,176 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 03:01:51,176 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 03:01:51,176  INFO game.Room - Player tester has entered the room 1426470966050
16 Bře 2015 03:01:51,176  INFO game.GameManager - Starting game in room 1426470966050 in 5 seconds
16 Bře 2015 03:01:51,177 DEBUG game.Room - Broadcasted message user1-tester to room 1426470966050
16 Bře 2015 03:01:51,178  INFO game.Starter - Starting game in room 1426470966050 in 5 seconds
16 Bře 2015 03:01:51,559 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 03:01:51,559 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 03:01:56,179  INFO game.Starter - Session in room 1426470966050 has started
16 Bře 2015 03:04:40,231 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 03:04:40,231  INFO game.Room - Player tester has left the room 1426470966050
16 Bře 2015 03:04:40,231 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 03:04:40,231 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 03:04:40,231  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 03:04:42,751  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 03:04:42,753 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 03:04:42,753 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 03:04:42,754  INFO game.Room - Player tester has entered the room 1426470966050
16 Bře 2015 03:04:42,754  INFO game.GameManager - Starting game in room 1426470966050 in 5 seconds
16 Bře 2015 03:04:42,754 DEBUG game.Room - Broadcasted message user1-tester to room 1426470966050
16 Bře 2015 03:04:42,754  INFO game.Starter - Starting game in room 1426470966050 in 5 seconds
16 Bře 2015 03:04:43,096 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 03:04:43,096 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 03:04:47,755  INFO game.Starter - Session in room 1426470966050 has started
16 Bře 2015 03:07:02,274  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 03:07:02,276 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 03:07:02,276 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 03:07:02,276  WARN game.GameManager - Player with name tester already exists on server!
16 Bře 2015 03:07:02,687 DEBUG connection.ServerThread - Received download-homeworks from IP /127.0.0.1
16 Bře 2015 03:07:02,687 DEBUG game.GameManager - Preparing to resolve message: download-homeworks
16 Bře 2015 03:07:07,854 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 03:07:07,854 DEBUG game.GameManager - Player wasn't logged in, dropping not neccessary!
16 Bře 2015 03:07:07,854 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 03:07:07,854  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 03:08:05,669 ERROR connection.ServerThread - Error in the run() block: 
java.net.SocketException: Connection reset
16 Bře 2015 03:08:05,669  INFO game.Room - Player tester has left the room 1426470966050
16 Bře 2015 03:08:05,669 DEBUG game.GameManager - Dropped player tester from server
16 Bře 2015 03:08:05,669 DEBUG connection.ServerThread - Trying to end connection with client /127.0.0.1
16 Bře 2015 03:08:05,670  INFO connection.ServerThread - Client has left: /127.0.0.1
16 Bře 2015 03:08:08,474  INFO connection.ServerThread - Client has connected: /127.0.0.1
16 Bře 2015 03:08:08,475 DEBUG connection.ServerThread - Received login-tester from IP /127.0.0.1
16 Bře 2015 03:08:08,476 DEBUG game.GameManager - Preparing to resolve message: login-tester
16 Bře 2015 03:08:08,476  INFO game.Room - Player tester has entered the room 1426470966050
16 Bře 2015 03:08:08,476  INFO game.GameManager - Starting game in room 1426470966050 in 5 seconds
16 Bře 2015 03:08:08,476 DEBUG game.Room - Broadcasted message user1-tester to room 1426470966050
